Iteration,Alpha
100,"0.5239652732192611,0.4760347267807389"
101,"0.5240130511553543,0.47598694884464565"
102,"0.5237016936518709,0.47629830634812914"
103,"0.5231409064690862,0.4768590935309138"
104,"0.5238736334885314,0.47612636651146856"
105,"0.5231561633282036,0.4768438366717964"
106,"0.5234271148467464,0.4765728851532536"
107,"0.5243122546070151,0.475687745392985"
108,"0.5240191807103702,0.4759808192896297"
109,"0.5228425425652823,0.47715745743471766"
110,"0.522751719007823,0.4772482809921771"
111,"0.5221190837639964,0.47788091623600354"
112,"0.5223136505014869,0.47768634949851313"
113,"0.5223136505014869,0.47768634949851313"
114,"0.522486915871541,0.47751308412845916"
115,"0.5226378273007847,0.4773621726992154"
116,"0.5227319206935728,0.47726807930642723"
117,"0.5226562769165155,0.47734372308348444"
118,"0.523314456645094,0.4766855433549061"
119,"0.5248216421342647,0.4751783578657352"
120,"0.5246671246850846,0.4753328753149154"
121,"0.5246821864937665,0.4753178135062335"
122,"0.524767087017017,0.4752329129829829"
123,"0.5250233120612816,0.47497668793871833"
124,"0.5256665222527737,0.47433347774722634"
125,"0.5262623138602622,0.4737376861397378"
126,"0.5259522450129259,0.474047754987074"
127,"0.5264703867298954,0.47352961327010457"
128,"0.5264141079688203,0.47358589203117973"
129,"0.5272617958238074,0.47273820417619267"
130,"0.5270903484514048,0.4729096515485952"
131,"0.5271288336621079,0.4728711663378921"
132,"0.5274185823097184,0.4725814176902816"
133,"0.5272358974322273,0.4727641025677728"
134,"0.5272938127396066,0.4727061872603935"
135,"0.5272735586629993,0.47272644133700076"
136,"0.5270970303599151,0.4729029696400848"
137,"0.5273640350742864,0.4726359649257137"
138,"0.5279231358528961,0.47207686414710404"
139,"0.528598550007321,0.47140144999267886"
140,"0.528794282505403,0.47120571749459705"
141,"0.5288337837178895,0.4711662162821104"
142,"0.5294852912662141,0.4705147087337858"
143,"0.5301473472635145,0.4698526527364854"
144,"0.5306096391602948,0.4693903608397052"
145,"0.5306853782550498,0.46931462174495026"
146,"0.530401124112683,0.46959887588731697"
147,"0.5301517169976844,0.4698482830023156"
148,"0.5305294412280087,0.4694705587719913"
149,"0.5302061621699389,0.469793837830061"
150,"0.5300924156096958,0.4699075843903042"
151,"0.5303376390517621,0.4696623609482378"
152,"0.5307125069704084,0.4692874930295915"
153,"0.5310849652005527,0.46891503479944724"
154,"0.5309398892329685,0.46906011076703147"
155,"0.5308591633555934,0.46914083664440664"
156,"0.5305837762985973,0.4694162237014026"
157,"0.529200126627708,0.470799873372292"
158,"0.5292987881859404,0.47070121181405944"
159,"0.5292422519449125,0.4707577480550876"
160,"0.5295520456488376,0.4704479543511625"
161,"0.5290810231943536,0.47091897680564654"
162,"0.5286753377247895,0.4713246622752106"
163,"0.5279341378374962,0.47206586216250374"
164,"0.5276983254687873,0.4723016745312127"
165,"0.5276138957239495,0.47238610427605054"
166,"0.5284614725081971,0.4715385274918029"
167,"0.528815018120374,0.47118498187962593"
168,"0.5292350146828921,0.47076498531710775"
169,"0.528781055186651,0.471218944813349"
170,"0.5288471381326674,0.4711528618673327"
171,"0.528906402646692,0.4710935973533081"
172,"0.5289535145933432,0.4710464854066569"
173,"0.528855279194924,0.47114472080507597"
174,"0.5286724796856909,0.47132752031430913"
175,"0.5278774547488649,0.47212254525113506"
176,"0.5278754873831938,0.47212451261680616"
177,"0.5281343219828484,0.4718656780171515"
178,"0.528816918938243,0.471183081061757"
179,"0.5287991896816155,0.47120081031838446"
180,"0.5291275547536554,0.4708724452463446"
181,"0.5293630800780177,0.47063691992198226"
182,"0.5295240577247108,0.47047594227528927"
183,"0.5290369191539612,0.4709630808460388"
184,"0.5290297129417103,0.4709702870582897"
185,"0.5290178520536536,0.47098214794634635"
186,"0.5287982344890086,0.4712017655109914"
187,"0.528283541064993,0.4717164589350071"
188,"0.5282325572181445,0.4717674427818554"
189,"0.5275079181038892,0.47249208189611086"
190,"0.5281257531141733,0.4718742468858267"
191,"0.528651399685931,0.47134860031406894"
192,"0.5288216014540872,0.47117839854591287"
193,"0.5283303769005655,0.47166962309943444"
194,"0.5286433446255607,0.4713566553744393"
195,"0.5287470991416467,0.4712529008583533"
196,"0.528602351531219,0.4713976484687809"
197,"0.5286189663877511,0.4713810336122489"
198,"0.5284535149641326,0.4715464850358673"
199,"0.5286590374527664,0.4713409625472335"
200,"0.5283646537409242,0.4716353462590757"
201,"0.5278843593855032,0.4721156406144968"
202,"0.5282689278272159,0.4717310721727841"
203,"0.528442143124244,0.4715578568757561"
204,"0.5289507248565802,0.47104927514341977"
205,"0.5287569922525177,0.47124300774748235"
206,"0.5286733356060563,0.4713266643939436"
207,"0.5291690462853605,0.4708309537146395"
208,"0.5291936242779591,0.4708063757220408"
209,"0.5291356790718732,0.4708643209281268"
210,"0.5290965182341754,0.4709034817658247"
211,"0.5289678823838242,0.4710321176161758"
212,"0.5287362408938525,0.4712637591061475"
213,"0.5286539098567595,0.4713460901432406"
214,"0.5289072463712641,0.471092753628736"
215,"0.5293683674155192,0.4706316325844808"
216,"0.5293158060561742,0.4706841939438257"
217,"0.5301737884434186,0.46982621155658144"
218,"0.5302950184576507,0.4697049815423493"
219,"0.5302044548220759,0.4697955451779242"
220,"0.5296500516763215,0.4703499483236786"
221,"0.5294934554632044,0.47050654453679563"
222,"0.5295252491365191,0.47047475086348084"
223,"0.529522015286778,0.47047798471322205"
224,"0.5293791208434092,0.47062087915659073"
225,"0.5293861524941836,0.4706138475058164"
226,"0.5296493623122183,0.47035063768778174"
227,"0.5296505954238173,0.47034940457618274"
228,"0.5294987364891086,0.47050126351089144"
229,"0.5300941161862839,0.46990588381371606"
230,"0.5299451310627561,0.47005486893724396"
231,"0.5295690094993429,0.4704309905006571"
232,"0.5300289622265411,0.46997103777345894"
233,"0.5300330370052242,0.46996696299477586"
234,"0.529892508700817,0.47010749129918294"
235,"0.5294264270016856,0.4705735729983144"
236,"0.5287716263675266,0.47122837363247344"
237,"0.5292018065627884,0.4707981934372117"
238,"0.5292445248255228,0.4707554751744773"
239,"0.5300297659956323,0.4699702340043677"
240,"0.5308566626922188,0.4691433373077812"
241,"0.5307995107625024,0.46920048923749763"
242,"0.5307605878770769,0.46923941212292314"
243,"0.5309159063473768,0.46908409365262327"
244,"0.5304856547296618,0.4695143452703382"
245,"0.5305751161877291,0.4694248838122708"
246,"0.5308386067967819,0.4691613932032182"
247,"0.5308148484312603,0.4691851515687397"
248,"0.5318586565659411,0.468141343434059"
249,"0.5320756065417175,0.4679243934582825"
250,"0.5322749309214935,0.46772506907850653"
251,"0.5325821025828361,0.46741789741716394"
252,"0.5327411595866693,0.46725884041333066"
253,"0.532477129991654,0.467522870008346"
254,"0.5325416653274619,0.46745833467253806"
255,"0.5325471348157683,0.4674528651842316"
256,"0.5324008590920603,0.4675991409079397"
257,"0.532276052303939,0.4677239476960609"
258,"0.5321391916616245,0.46786080833837546"
259,"0.5321694316573219,0.46783056834267805"
260,"0.5321525993249228,0.4678474006750773"
261,"0.5319232419402836,0.4680767580597164"
262,"0.5322333388750161,0.4677666611249839"
263,"0.5325198878056275,0.46748011219437247"
264,"0.5326028021960504,0.4673971978039496"
265,"0.5323937204117637,0.46760627958823636"
266,"0.5324571525726712,0.4675428474273288"
267,"0.532407030182687,0.46759296981731313"
268,"0.532890228163655,0.46710977183634494"
269,"0.5326975809515272,0.4673024190484728"
270,"0.5319656387038251,0.46803436129617493"
271,"0.5317941463402598,0.46820585365974016"
272,"0.5320482855867712,0.46795171441322875"
273,"0.5317290908768992,0.46827090912310065"
274,"0.5314481385537789,0.4685518614462211"
275,"0.532098628120124,0.467901371879876"
276,"0.5322885314027276,0.4677114685972724"
277,"0.5322493019570083,0.46775069804299174"
278,"0.5322469847972379,0.46775301520276213"
279,"0.5328801569335659,0.467119843066434"
280,"0.5327938501926669,0.4672061498073331"
281,"0.5328321990585224,0.46716780094147764"
282,"0.5331380979009406,0.46686190209905937"
283,"0.5328456372080216,0.46715436279197853"
284,"0.5326274128658818,0.46737258713411817"
285,"0.5331164492768896,0.4668835507231104"
286,"0.5333450641086591,0.4666549358913409"
287,"0.5338913443802166,0.4661086556197835"
288,"0.5336066733987491,0.4663933266012509"
289,"0.5336656640127502,0.46633433598724977"
290,"0.5337228862178979,0.4662771137821021"
291,"0.534137862502812,0.4658621374971879"
292,"0.5339280659976066,0.46607193400239344"
293,"0.5346549942085643,0.4653450057914356"
294,"0.5350633412380338,0.4649366587619662"
295,"0.5349854727507168,0.46501452724928316"
296,"0.5351456536167912,0.4648543463832088"
297,"0.535366652588666,0.46463334741133405"
298,"0.5354481563657247,0.46455184363427526"
299,"0.5358974834185362,0.46410251658146384"
300,"0.5360180055411916,0.4639819944588084"
301,"0.5359645057252008,0.46403549427479923"
302,"0.5356169901344067,0.46438300986559344"
303,"0.5353640675356628,0.46463593246433726"
304,"0.5352285197136379,0.464771480286362"
305,"0.5350993840248235,0.46490061597517646"
306,"0.5349165693479356,0.4650834306520644"
307,"0.5351608214873366,0.4648391785126635"
308,"0.5353462828055293,0.4646537171944707"
309,"0.5353004210173258,0.4646995789826742"
310,"0.5361887267074528,0.4638112732925473"
311,"0.5368876112974884,0.46311238870251153"
312,"0.5369391111519572,0.46306088884804275"
313,"0.5369107516547129,0.4630892483452872"
314,"0.5375904935100814,0.4624095064899186"
315,"0.5380459799182165,0.46195402008178366"
316,"0.5383545973770549,0.46164540262294507"
317,"0.5388853925248183,0.4611146074751816"
318,"0.5390477343622152,0.4609522656377848"
319,"0.5394180349845961,0.460581965015404"
320,"0.5392913853629671,0.46070861463703294"
321,"0.5390740523696135,0.4609259476303866"
322,"0.5391151587044306,0.4608848412955694"
323,"0.53887980660384,0.4611201933961599"
324,"0.5391523877474064,0.4608476122525936"
325,"0.5386904178186389,0.4613095821813611"
326,"0.538032288215645,0.46196771178435503"
327,"0.5377012824700362,0.46229871752996377"
328,"0.5377996664286189,0.4622003335713812"
329,"0.5377883982072595,0.4622116017927405"
330,"0.5386568164589284,0.4613431835410716"
331,"0.5377093968284014,0.4622906031715986"
332,"0.5377896694559637,0.46221033054403626"
333,"0.5377196254219674,0.4622803745780326"
334,"0.5381184156134416,0.4618815843865584"
335,"0.5384115081212273,0.46158849187877266"
336,"0.5391624954617001,0.4608375045382998"
337,"0.5394814108020611,0.4605185891979389"
338,"0.5391651964158041,0.4608348035841959"
339,"0.5407554027843279,0.459244597215672"
340,"0.5411209078839472,0.4588790921160529"
341,"0.5411310048601128,0.4588689951398872"
342,"0.5413179786461836,0.4586820213538163"
343,"0.5413430128479171,0.458656987152083"
344,"0.541364221099998,0.45863577890000196"
345,"0.5420295146396746,0.4579704853603255"
346,"0.5420070852070732,0.4579929147929268"
347,"0.5416358566149327,0.4583641433850673"
348,"0.5415924348063271,0.4584075651936729"
349,"0.5417808486732254,0.45821915132677454"
350,"0.5420458554090184,0.45795414459098166"
351,"0.5423760340514863,0.45762396594851373"
352,"0.5425979397244253,0.4574020602755748"
353,"0.5431937608878158,0.45680623911218415"
354,"0.5434476679472992,0.4565523320527008"
355,"0.5436327026927412,0.4563672973072589"
356,"0.5435913008518964,0.4564086991481036"
357,"0.5437291568644349,0.45627084313556515"
358,"0.544924201881515,0.455075798118485"
359,"0.5448912826779404,0.45510871732205965"
360,"0.5449433461930088,0.45505665380699123"
361,"0.5451164619493004,0.45488353805069953"
362,"0.5452831550892572,0.45471684491074277"
363,"0.5457476065573307,0.45425239344266943"
364,"0.5457262281106485,0.4542737718893514"
365,"0.5451929540686848,0.45480704593131516"
366,"0.545102029102528,0.4548979708974719"
367,"0.5448596264543737,0.4551403735456263"
368,"0.5449728973002874,0.4550271026997125"
369,"0.5448439242464539,0.45515607575354616"
370,"0.5445726394923152,0.4554273605076849"
371,"0.5453472068130769,0.45465279318692314"
372,"0.5457580727324821,0.45424192726751794"
373,"0.5455477583299715,0.45445224167002857"
374,"0.5457387845766196,0.45426121542338044"
375,"0.5457001115370975,0.45429988846290253"
376,"0.5454571004491797,0.45454289955082033"
377,"0.5456649319027339,0.4543350680972661"
378,"0.5456078450939045,0.45439215490609547"
379,"0.5452454604841454,0.45475453951585465"
380,"0.5451933138732794,0.4548066861267205"
381,"0.5450483169490389,0.4549516830509611"
382,"0.5452299417564165,0.45477005824358346"
383,"0.5453007381392986,0.4546992618607014"
384,"0.5450135268795913,0.4549864731204088"
385,"0.54471251691282,0.4552874830871801"
386,"0.544777344016767,0.45522265598323297"
387,"0.5446769292212262,0.4553230707787737"
388,"0.5448024391456557,0.4551975608543443"
389,"0.5450315048575811,0.4549684951424189"
390,"0.5443848671008551,0.4556151328991449"
391,"0.5443848671008551,0.4556151328991449"
392,"0.543954511331044,0.456045488668956"
393,"0.5440106798386452,0.45598932016135485"
394,"0.5440132606880881,0.4559867393119119"
395,"0.5438747659045209,0.45612523409547906"
396,"0.5438876890730268,0.45611231092697324"
397,"0.5438006412075456,0.4561993587924545"
398,"0.5439339155603651,0.4560660844396349"
399,"0.5435940490681523,0.4564059509318476"
400,"0.5436657815949405,0.4563342184050595"
401,"0.5443651080597307,0.45563489194026924"
402,"0.5444080954406746,0.45559190455932536"
403,"0.5443575411724657,0.4556424588275343"
404,"0.5443915760901776,0.4556084239098223"
405,"0.5444734134151397,0.45552658658486034"
406,"0.5441037326314356,0.4558962673685644"
407,"0.5447478156117489,0.455252184388251"
408,"0.5448319873777937,0.45516801262220624"
409,"0.5449092081998794,0.4550907918001206"
410,"0.545084376211933,0.45491562378806705"
411,"0.5451303176835829,0.4548696823164172"
412,"0.5450166574506311,0.45498334254936895"
413,"0.5450197535505572,0.4549802464494428"
414,"0.545246494402827,0.4547535055971729"
415,"0.5450057435647545,0.4549942564352454"
416,"0.5455374734957789,0.4544625265042211"
417,"0.5453770253901504,0.4546229746098495"
418,"0.5448912584854516,0.45510874151454844"
419,"0.5446723190231817,0.4553276809768183"
420,"0.5458784795404211,0.45412152045957893"
421,"0.5458273860399436,0.4541726139600563"
422,"0.5459327058553486,0.4540672941446515"
423,"0.5457459397876351,0.454254060212365"
424,"0.5457122517215605,0.4542877482784396"
425,"0.5458743787494734,0.45412562125052663"
426,"0.5458673050705078,0.45413269492949226"
427,"0.5458184129656087,0.4541815870343912"
428,"0.54574829385753,0.45425170614247007"
429,"0.5461517657461289,0.4538482342538711"
430,"0.5465270640020341,0.4534729359979659"
431,"0.5457420982436325,0.45425790175636743"
432,"0.5454285585339023,0.45457144146609774"
433,"0.5451173179520749,0.45488268204792526"
434,"0.5450051652649309,0.4549948347350691"
435,"0.545317744838511,0.4546822551614889"
436,"0.5454516064895246,0.4545483935104753"
437,"0.5450096823217153,0.45499031767828474"
438,"0.544947168542163,0.45505283145783704"
439,"0.5451764104382202,0.4548235895617799"
440,"0.5448290893961912,0.45517091060380876"
441,"0.5446683144463141,0.45533168555368586"
442,"0.5448446182128809,0.4551553817871192"
443,"0.544914820955496,0.45508517904450396"
444,"0.5450602502962604,0.4549397497037395"
445,"0.5457793124011736,0.45422068759882644"
446,"0.5458824751397027,0.4541175248602973"
447,"0.5465375133707442,0.45346248662925576"
448,"0.5465088938762699,0.4534911061237301"
449,"0.5463088696584202,0.4536911303415798"
450,"0.5466869495901472,0.4533130504098529"
451,"0.5464869294758574,0.4535130705241426"
452,"0.5469998665144106,0.4530001334855893"
453,"0.5472518808776107,0.4527481191223894"
454,"0.5471408673180455,0.4528591326819546"
455,"0.5472738312790789,0.452726168720921"
456,"0.5470652505435739,0.4529347494564261"
457,"0.5469799330652281,0.45302006693477187"
458,"0.5467674184898059,0.453232581510194"
459,"0.5467144038853851,0.4532855961146149"
460,"0.5458321841907472,0.45416781580925275"
461,"0.5456054414414521,0.4543945585585479"
462,"0.5458195826736856,0.4541804173263145"
463,"0.5458852230716904,0.4541147769283097"
464,"0.5456856984780725,0.45431430152192753"
465,"0.5457350407816923,0.4542649592183076"
466,"0.5457217577607545,0.45427824223924546"
467,"0.5460877173698411,0.4539122826301589"
468,"0.5466175256109935,0.45338247438900653"
469,"0.5468429805965358,0.4531570194034642"
470,"0.5468600373239408,0.45313996267605916"
471,"0.5469635499508825,0.4530364500491176"
472,"0.5474565692651451,0.45254343073485487"
473,"0.5472581128689902,0.45274188713100977"
474,"0.5469686314098403,0.45303136859015963"
475,"0.5474465488157966,0.4525534511842034"
476,"0.5472886544205503,0.4527113455794498"
477,"0.5474616670877593,0.45253833291224066"
478,"0.5471409051721753,0.4528590948278248"
479,"0.5473286266921452,0.45267137330785473"
480,"0.5476330279157141,0.45236697208428595"
481,"0.5473955757260551,0.452604424273945"
482,"0.5476163082715428,0.4523836917284572"
483,"0.5477361730725047,0.45226382692749534"
484,"0.5475921705475252,0.4524078294524748"
485,"0.547354343516963,0.452645656483037"
486,"0.5471819635442153,0.4528180364557847"
487,"0.5475430569457769,0.452456943054223"
488,"0.5474640297412412,0.4525359702587588"
489,"0.5475624129421166,0.4524375870578834"
490,"0.5474566322595562,0.4525433677404438"
491,"0.5474339388899714,0.45256606111002856"
492,"0.5474315859860749,0.45256841401392517"
493,"0.5479819657954257,0.45201803420457426"
494,"0.5479575426100841,0.45204245738991594"
495,"0.54829714865542,0.45170285134457994"
496,"0.54855652079143,0.4514434792085699"
497,"0.5484060363409188,0.4515939636590812"
498,"0.5478299224067229,0.45217007759327715"
499,"0.5476840510367081,0.4523159489632919"
500,"0.5475190374695809,0.4524809625304192"
501,"0.5472908790627469,0.4527091209372532"
502,"0.547388616989578,0.45261138301042203"
503,"0.5469875673255984,0.4530124326744016"
504,"0.5474419739053848,0.4525580260946152"
505,"0.5472992954109352,0.4527007045890648"
506,"0.5472478910229102,0.45275210897708984"
507,"0.5468360482901695,0.4531639517098304"
508,"0.5466768131403295,0.4533231868596705"
509,"0.5464524761069122,0.45354752389308783"
510,"0.5475591787146108,0.4524408212853892"
511,"0.5474633275577305,0.4525366724422695"
512,"0.547245602498813,0.452754397501187"
513,"0.547033929796455,0.45296607020354485"
514,"0.5467125341192552,0.45328746588074487"
515,"0.5467585340400712,0.45324146595992887"
516,"0.546805364360473,0.453194635639527"
517,"0.5468193839508706,0.4531806160491294"
518,"0.5476169056088486,0.45238309439115143"
519,"0.547412954425688,0.45258704557431195"
520,"0.5484453564028078,0.4515546435971923"
521,"0.5485616807300717,0.4514383192699282"
522,"0.5484174564008215,0.45158254359917843"
523,"0.5481601819324781,0.45183981806752205"
524,"0.5492004780432271,0.45079952195677286"
525,"0.5491633700677994,0.45083662993220064"
526,"0.5489813475216154,0.45101865247838463"
527,"0.5491314630351772,0.4508685369648227"
528,"0.5490912075147684,0.45090879248523164"
529,"0.5486309200396441,0.45136907996035586"
530,"0.5486268723100485,0.45137312768995164"
531,"0.5483946413753743,0.45160535862462564"
532,"0.5484395308701017,0.45156046912989833"
533,"0.5479082859149765,0.45209171408502347"
534,"0.5477938438565512,0.4522061561434487"
535,"0.5483856188790881,0.45161438112091185"
536,"0.5483064988439168,0.45169350115608325"
537,"0.5481548299632883,0.4518451700367116"
538,"0.5482199490300192,0.45178005096998075"
539,"0.5477887699986754,0.4522112300013246"
540,"0.5488866103972072,0.45111338960279274"
541,"0.5486340791320637,0.45136592086793625"
542,"0.5482394325996343,0.45176056740036563"
543,"0.5483460990322573,0.45165390096774277"
544,"0.5484530529933784,0.4515469470066215"
545,"0.5489898990092874,0.4510101009907126"
546,"0.5488239939691151,0.4511760060308849"
547,"0.5486238964349636,0.4513761035650363"
548,"0.5490133818039408,0.4509866181960591"
549,"0.5490512434383632,0.4509487565616368"
550,"0.5484820368091831,0.451517963190817"
551,"0.5484139896167611,0.45158601038323887"
552,"0.5481941937273153,0.4518058062726847"
553,"0.5487517814031246,0.45124821859687536"
554,"0.5493749574905947,0.4506250425094053"
555,"0.550059492143221,0.4499405078567789"
556,"0.5493954039894554,0.45060459601054453"
557,"0.5496070823582748,0.45039291764172523"
558,"0.5488954144409786,0.45110458555902144"
559,"0.548895607609095,0.451104392390905"
560,"0.5488709831936045,0.45112901680639544"
561,"0.5484563124468439,0.45154368755315616"
562,"0.5483889228524778,0.4516110771475223"
563,"0.5480695367204346,0.45193046327956543"
564,"0.5477356193898043,0.45226438061019564"
565,"0.547984471894082,0.4520155281059181"
566,"0.5477283199243802,0.45227168007561974"
567,"0.5479881558328927,0.45201184416710727"
568,"0.5481399893780705,0.45186001062192943"
569,"0.5481323368302362,0.4518676631697638"
570,"0.5482947840408376,0.45170521595916235"
571,"0.5482164873006643,0.4517835126993356"
572,"0.5486304515448579,0.4513695484551421"
573,"0.5483591233077494,0.4516408766922506"
574,"0.5487468106916988,0.4512531893083011"
575,"0.5487144438891944,0.4512855561108055"
576,"0.5494011196504058,0.4505988803495941"
577,"0.5491758849776753,0.45082411502232467"
578,"0.5492638810640426,0.4507361189359575"
579,"0.5488207763892442,0.45117922361075585"
580,"0.5488428566682899,0.45115714333171014"
581,"0.548668190749403,0.45133180925059696"
582,"0.5488070207122434,0.4511929792877567"
583,"0.548987527189972,0.451012472810028"
584,"0.5489548277967751,0.45104517220322493"
585,"0.5485771674168541,0.45142283258314586"
586,"0.5486979410433546,0.4513020589566454"
587,"0.548464445187913,0.45153555481208696"
588,"0.5488097142917598,0.45119028570824016"
589,"0.5487898576775365,0.4512101423224634"
590,"0.5491713442692694,0.4508286557307306"
591,"0.5493700454591587,0.4506299545408414"
592,"0.5497566951215905,0.4502433048784095"
593,"0.5496474631947447,0.45035253680525533"
594,"0.5498089487266575,0.4501910512733425"
595,"0.5498928635985683,0.4501071364014318"
596,"0.5498428841650919,0.4501571158349082"
597,"0.5499298588441074,0.45007014115589267"
598,"0.549639478557778,0.45036052144222194"
599,"0.549690066741494,0.450309933258506"
600,"0.5498578368300233,0.4501421631699767"
601,"0.5498883236890999,0.4501116763109001"
602,"0.5496604875830362,0.45033951241696374"
603,"0.5498900470977509,0.4501099529022491"
604,"0.5501173912631303,0.4498826087368697"
605,"0.5500299095291806,0.44997009047081943"
606,"0.5497805256755691,0.4502194743244309"
607,"0.5500143404363128,0.4499856595636871"
608,"0.5510559787645806,0.4489440212354194"
609,"0.5511441727364701,0.44885582726352985"
610,"0.5508849096314137,0.4491150903685863"
611,"0.5508195564072396,0.44918044359276044"
612,"0.550557371641603,0.44944262835839693"
613,"0.5504187545804733,0.44958124541952665"
614,"0.5505922573887012,0.4494077426112989"
615,"0.5504683668603009,0.449531633139699"
616,"0.5515863658646877,0.4484136341353123"
617,"0.551691782009372,0.448308217990628"
618,"0.5515092138717929,0.4484907861282072"
619,"0.551359003728866,0.44864099627113396"
620,"0.551358176992306,0.44864182300769406"
621,"0.5516854763867313,0.44831452361326873"
622,"0.5517474619864855,0.44825253801351445"
623,"0.5514343632494196,0.4485656367505804"
624,"0.5516711357986792,0.4483288642013208"
625,"0.5521370854766181,0.4478629145233819"
626,"0.5519374671024676,0.44806253289753234"
627,"0.5517927521089935,0.4482072478910065"
628,"0.5524224826311805,0.44757751736881957"
629,"0.5520843472114514,0.44791565278854867"
630,"0.5528312904733609,0.44716870952663906"
631,"0.5524312882609087,0.4475687117390914"
632,"0.5519842980407513,0.44801570195924867"
633,"0.5522548932529205,0.44774510674707946"
634,"0.5521290296615351,0.4478709703384649"
635,"0.551902081004685,0.4480979189953151"
636,"0.5514877075734991,0.4485122924265009"
637,"0.5519359283376357,0.4480640716623643"
638,"0.5519829094505965,0.4480170905494035"
639,"0.5517477051439089,0.44825229485609097"
