Wine-Red.LurtonMerlotDe	10.95
IcedTea-Lemon.460Ml	21.75
Beef-CowFeetSplit	5.06
V8-BerryBlend	14.51
RedCurrantJelly	10.21
Raspberries-Frozen	37.64
Sauce-Gravy.AuJus.Mix	27.25
Cheese-Havarti.Salsa	11.25
Jameson-IrishWhiskey	20.25
Bread-ItalianCornMealPoly	1.69
Nantucket-CarrotOrange	26.62
Muffins-Assorted	18.86
RedCurrantJelly	10.21
TartShells-Savory.2	28.69
Pasta-Penne.Rigate.Dry	32.24
DriedCranberries	76.73
Yogurt-Banana.175Gr	2.47
FoamDinnerPlate	24.20
Sausage-Andouille	39.90
Beer-CameronsAuburn	5.31
Tray-12inRndBlk	59.96
Apple-Macintosh	55.00
Grapes-Green	3.00
Pastry-BananaTeaLoaf	8.50
Chip-PotatoDillPickle	19.10
Wine-JafflinBourgongone	19.80
Sprouts-Alfalfa	27.00
Bagel-WholeWhiteSesame	41.38
Zucchini-Yellow	47.50
Melon-HoneyDew	4.50
EnergyDrinkRedBull	41.48
JuicePeachNectar	7.78
Compound-Mocha	25.29
CoffeeCup8oz5338cd	95.02
Cake-LemonChiffon	25.44
Wine-GuySageTouraine	15.27
Duck-Breast	22.06
Sauce-RanchDressing	25.91
Beans-FavaFresh	10.93
Sobe-LizardFuel	19.92
ChocolateLiqueur-GodetWhite	18.75
Juice-Grape.White	2.70
PieBox-CelloWindow2.5	85.06
BarMix-Lemon	41.04
Tendrils-BabyPea.Organic	36.23
PralinePaste	72.08
Potatoes-Pei10Oz	14.00
Lamb-Shoulder.Boneless	3.79
Wine-FontanafreddaBarolo	41.67
Water.Tap	3.00
BerryBrulee	2.52
Noodles-Egg	14.13
Salt-Sea	1.32
Soup-CampbellsBeefStew	32.47
BacardiRaspberry	22.45
DillWeed-Fresh	1.45
Beer-CameronsAuburn	5.31
MuffinBatt-BlueberryPassion	16.95
Mustard-Dijon	51.07
TamarindPaste	13.44
Cup-4ozTranslucent	87.72
Yogurt-Peach.175Gr	3.86
Basil-Dry.Rubbed	5.39
Mayonnaise	34.08
Soup-Campbells	37.90
Sterno-ChafingDishFuel	1.56
HoldUpToolStorageRack	58.93
FuelChaffingPan	50.27
Foil-RoundFoil	199.11
FoamCup6Oz	24.25
TomatoPuree	17.68
MuffinCarrot-Individual	27.72
Yogurt-Blueberry.175Gr	2.47
Wine-SherryDrySack.William	12.25
Pineapple-Canned.Rings	40.10
Napkin-Cocktail.beige2-Ply	70.00
FoamCup6Oz	24.25
Goat-WholeCut	3.99
Coffee-Decafenated	6.77
SalmonSteak-Cohoe6Oz	58.30
Tomato-TricolorCherry	10.49
Wine-Magnotta-CabFranc	13.27
IslandOasis-PeachDaiquiri	6.93
BreadCountryRoll	2.50
Persimmons	1.95
Squash-Butternut	1.35
TableCloth-53x69Colour	2.10
JoltCola-RedEye	1.45
Relish	2.24
Pastry-LemonDanish-Mini	0.59
Turkey-Breast.Double	4.59
IcecreamCone-AreoChocolate	39.31
Milk2500Ml	0.90
Olives-Green.Pitted	6.08
Lamb-Loin.Trimmed.Boneless	12.50
CookieDough-PeanutButter	37.30
Wine-PellerEstatesLate	17.27
Bread-Burger	4.42
Sauce-Hoisin	39.54
Pumpkin-Seed	31.26
Salmon-SockeyeRaw	20.64
YukonJack	19.95
Shiratamako-RiceFlour	4.10
Icecream-DstkCmlAndFdg	34.52
Capon-Breast.WingOn	1.69
Cheese-Blue	9.09
Beef-InsideRound	2.89
Veal-Ground	3.69
Beer-PilsnerUrquell	6.01
Marsala-Sperone.Fine.D.o.c.	8.70
Cheese-Comtomme	69.90
GrandMarnier	43.02
Veal-Leg.Provimi-50LbMax	6.69
Wine-Red.PeleeIslandMerlot	8.95
Tomatoes-Cherry.Yellow	42.80
Sprouts-Brussel	7.62
Turnip-Mini	5.52
Wine-AcientCoastCaberne	8.36
Sugar-IndividualPortions	26.60
Kohlrabi-Giant.Organic	2.50
Chocolate-Unsweetened	48.59
Pineapple-Regular	2.00
FoilContRound	134.58
Cheese-PiedDeVents	59.90
Soup-Knorr.VegBeef	48.49
Pate-Cognac	3.69
Juice-AppleCider	6.99
Tea-JasminGreen	26.43
Raisin-Dark	65.01
TableCloth90x90Colour	4.25
Coconut-Shredded.Unsweet	16.20
Peas-Pigeon.Dry	0.84
Trueblue-BlueberryCranberry	16.95
Spice-Paprika	8.83
Cheese-Fontina	15.00
Clementine	1.90
ChineseFoods-ThickNoodles	8.73
SauceTomatoPouch	15.12
KellogsRaisanBranBars	1.57
Tomatoes-Orange	8.72
Water-Evian355Ml	21.25
Pepper-Black.Ground	93.00
Cherries-Bing.Canned	107.20
Numi-AssortedTeas	34.50
Schnappes-Peach.Walkers	15.93
WildBoar-Tenderloin	35.45
Grapefruit-White	0.75
Pork-SausageCasing	20.00
Pepper-Orange	3.27
FlourPastrySuperFine	16.16
Aspic-Clear	129.00
Wine-PinotNoirStoneleigh	20.03
BreadWwCluster	2.21
DomeLidClearP92008h	41.86
Beef-Salted	7.71
Oil-CookingSpray	34.05
Bread-MultigrainOval	2.80
Wine-WyndhamEstateBin777	14.73
TableCloth120RoundWhite	15.51
Piping-BagsQuizna	0.27
Sachet	0.45
Kolrabi	1.75
CountryRoll	0.29
Capon-Breast.Double.WingOn	2.89
Soup-CampbellsBeefNoodle	47.24
Beer-CameronsCreamAle	43.55
Wine-MasChicetRose.Vintage	17.27
Spice-MontrealSteakSpice	10.59
Filling-MinceMeat	3.58
Syrup-Monin.SwissChoclate	8.95
Soup-CampbellsAsianNoodle	44.04
FlourDarkRye	0.98
Coffee-Espresso	13.40
Pate-Peppercorn	26.99
Crab-ImitationFlakes	3.45
Honey-Liquid	41.50
Bread-Multigrain	3.61
Soup-CampbellsChiliVeg	22.31
ChocolateBar-Smarties	0.71
GarbageBag-Clear	15.50
CookieDough-OatmealRasin	24.01
Cheese-Mozzarella	12.97
Soup-Knorr.Ministrone	43.29
Bread-RosemaryFocaccia	32.11
Lamb-SausageCasings	32.89
Garlic-Elephant	9.95
Wine-ShirazSouthEastern	15.05
Mix-CocktailStrawberryDaiquiri	92.35
TableCloth81x81Colour	3.10
Mushroom-Lg-Cello	16.00
Chocolate-CompoundCoating	129.99
Filter-Coffee	12.83
Oranges	45.00
Cake-Pancake	14.90
IslandOasis-MangoDaiquiri	7.86
Muffin-Mix-CremeBrule15l	34.73
Glucose	64.26
Pork-Butt.Boneless	1.99
Pasta-Fettuccine.Egg.Fresh	1.82
Aspic-Light	185.70
Ecolab-PowerFusion	139.22
Bread-Roll.WholeWheat	3.12
Extract-Lemon	23.96
Sprouts-Bean	4.00
AnchovyPaste-56GTube	39.00
Pepper-RedBell	2.36
Chips-Assorted	23.65
Cake-MiniCheesecake	2.40
Sugar-WhitePacket	18.83
DillWeed-Dry	79.26
BolsMelonLiqueur	17.94
Vinegar-Cider	6.28
Flower-CommercialBronze	9.07
Soup-FrenchOnion	46.40
Soup-Verve-ChipotleChicken	43.50
Dc-FrozenMomji	12.50
Port-74Brights	6.35
MapleSyrup	168.73
Turnip-White.Organic	2.50
